player,rank,tier,cliff,pct_drop,matches,modal_role,pred_pts_per_match,pred_season_total,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,cv,dud_rate,boom_rate,expected_games,games_confidence,batting_pts_pct,bowling_pts_pct,prev_total,gap,team_2025,typical_bat_pos,avg_overs_bowled
SA Yadav,1,1,False,,16,Middle Order Bat,87.34659972159209,1048.0,93.4375,90.0,31.7888214104686,57.5,136.5,0.34,0.0,0.75,12.0,High,88.6,0.0,,,Mumbai Indians,4.0,0.0
SS Iyer,2,2,True,22.1,17,Top Order Bat,62.75656529725039,816.0,76.3529411764706,58.0,67.64885547486242,10.0,181.2,0.89,0.24,0.47,13.0,High,87.2,0.0,1048.0,232.0,Punjab Kings,3.0,0.0
B Sai Sudharsan,3,2,True,3.9,15,Opener,65.34744651430589,784.0,102.33333333333331,98.0,53.95059468316051,34.6,172.0,0.53,0.0,0.8,12.0,High,89.2,0.0,816.0,32.0,Gujarat Titans,1.0,0.0
H Klaasen,4,3,True,7.3,13,Middle Order Bat,72.6846428864985,727.0,79.46153846153847,64.0,48.89208420016371,44.6,129.80000000000004,0.62,0.0,0.62,10.0,Medium,83.3,0.0,784.0,57.0,Sunrisers Hyderabad,5.0,0.0
N Pooran,5,3,False,0.0,14,Top Order Bat,66.0619800601087,727.0,86.14285714285714,78.5,66.88895176433749,22.3,181.70000000000005,0.78,0.0,0.57,11.0,Medium,86.2,0.0,727.0,0.0,Lucknow Super Giants,3.0,0.0
JM Sharma,6,3,False,0.8,15,Lower Middle Bat,60.05788642709133,721.0,51.0,34.0,47.14567091169968,14.8,83.6,0.92,0.13,0.33,12.0,High,64.2,0.0,727.0,6.0,Royal Challengers Bengaluru,6.0,0.0
JC Buttler,7,3,False,2.1,14,Top Order Bat,64.1418889608994,706.0,84.0,75.5,60.55258363286726,13.5,152.70000000000002,0.72,0.14,0.71,11.0,Medium,83.3,0.0,721.0,15.0,Gujarat Titans,3.0,0.0
HH Pandya,8,3,True,4.7,15,Bowling AR,56.07499597230405,673.0,67.66666666666667,52.0,66.65333199973327,7.4,144.0,0.99,0.33,0.4,12.0,High,38.4,50.3,706.0,33.0,Mumbai Indians,6.0,2.3
KL Rahul,9,3,False,3.1,13,Middle Order Bat,65.20976140830732,652.0,83.15384615384616,64.0,70.14728095686264,19.0,200.60000000000005,0.84,0.0,0.62,10.0,Medium,89.3,0.0,673.0,21.0,Delhi Capitals,4.0,0.0
Shashank Singh,10,3,False,0.2,14,Lower Middle Bat,59.22553853459983,651.0,52.785714285714285,37.5,46.98637866679853,5.3,114.5,0.89,0.36,0.43,11.0,Medium,80.9,0.4,652.0,1.0,Punjab Kings,6.0,0.1
Shubman Gill,11,3,False,2.8,15,Opener,52.74744651430576,633.0,89.73333333333333,78.0,62.975581057452814,14.4,173.4,0.7,0.13,0.67,12.0,High,87.5,0.0,651.0,18.0,Gujarat Titans,2.0,0.0
N Wadhera,12,3,False,1.3,15,Middle Order Bat,52.1184232418474,625.0,52.13333333333333,25.0,42.56904755246245,16.8,108.0,0.82,0.07,0.33,12.0,High,82.7,0.1,633.0,8.0,Punjab Kings,5.0,0.1
V Kohli,13,3,False,1.0,15,Opener,51.56849273212924,619.0,85.13333333333334,97.0,46.88110595152481,18.6,134.0,0.55,0.07,0.67,12.0,High,89.5,0.0,625.0,6.0,Royal Challengers Bengaluru,2.0,0.0
MR Marsh,14,3,False,1.1,13,Opener,61.205978566059365,612.0,98.3846153846154,112.0,69.96610901183809,3.200000000000001,164.4,0.71,0.23,0.69,10.0,Medium,92.3,0.0,619.0,7.0,Lucknow Super Giants,2.0,0.0
A Badoni,15,3,False,2.0,13,Middle Order Bat,59.95188742244481,600.0,57.84615384615385,58.0,39.05945500952395,13.6,91.6,0.68,0.15,0.46,10.0,Medium,75.1,10.5,612.0,12.0,Lucknow Super Giants,5.0,0.1
Noor Ahmad,16,4,False,4.7,14,Pure Bowler,51.9612926300654,572.0,71.14285714285714,52.5,50.28359136377951,26.9,145.10000000000002,0.71,0.07,0.43,11.0,Medium,0.7,91.9,600.0,28.0,Chennai Super Kings,10.0,3.6
Tilak Varma,17,4,False,0.0,16,Middle Order Bat,47.63416767022589,572.0,46.0625,41.0,37.92003648029187,11.5,97.0,0.82,0.38,0.38,12.0,High,78.6,0.0,572.0,0.0,Mumbai Indians,5.0,0.0
KH Pandya,18,4,False,1.4,15,Pure Bowler,47.01956012182705,564.0,60.86666666666667,47.0,52.54231854510456,9.4,132.79999999999998,0.86,0.33,0.47,12.0,High,19.8,68.6,572.0,8.0,Royal Challengers Bengaluru,8.0,3.1
YBK Jaiswal,19,4,False,0.9,14,Opener,50.78441830946632,559.0,88.64285714285714,99.5,50.35658560988537,21.3,138.8,0.57,0.0,0.64,11.0,Medium,86.0,0.0,564.0,5.0,Rajasthan Royals,1.0,0.0
Dhruv Jurel,20,4,False,1.1,13,Middle Order Bat,55.34519618944575,553.0,56.69230769230769,58.0,43.7252494092079,13.4,109.0,0.77,0.15,0.46,10.0,Medium,80.7,0.0,559.0,6.0,Rajasthan Royals,5.0,0.0
R Parag,21,4,False,0.2,14,Batting AR,50.16350760172293,552.0,71.35714285714286,65.5,52.03934479404411,25.9,85.80000000000001,0.73,0.07,0.57,11.0,Medium,71.6,12.0,553.0,1.0,Rajasthan Royals,4.0,1.4
Naman Dhir,22,4,False,0.2,14,Lower Middle Bat,50.05059027165628,551.0,46.142857142857146,40.0,31.573740654238275,14.4,90.90000000000002,0.68,0.14,0.29,11.0,Medium,68.7,1.2,552.0,1.0,Mumbai Indians,7.0,0.3
S Dube,23,4,False,0.5,14,Middle Order Bat,49.78400093373499,548.0,50.0,44.0,26.355556996872306,19.8,78.7,0.53,0.07,0.36,11.0,Medium,86.1,0.1,551.0,3.0,Chennai Super Kings,4.0,0.1
RA Jadeja,24,4,False,1.6,14,Batting AR,49.002457271820994,539.0,72.57142857142857,78.5,46.25134390681868,15.4,127.10000000000004,0.64,0.14,0.57,11.0,Medium,49.5,37.9,548.0,9.0,Chennai Super Kings,4.0,2.7
T Stubbs,25,4,False,0.6,14,Lower Middle Bat,48.75388751109664,536.0,48.785714285714285,59.5,28.17303285448303,7.800000000000001,73.4,0.58,0.29,0.5,11.0,Medium,71.7,0.4,539.0,3.0,Delhi Capitals,6.0,0.1
MS Dhoni,26,4,False,0.2,14,Lower Middle Bat,48.645811431386754,535.0,37.85714285714285,29.5,29.14118719628271,8.6,77.30000000000001,0.77,0.29,0.29,11.0,Medium,62.6,0.0,536.0,1.0,Chennai Super Kings,7.0,0.0
M Prasidh Krishna,27,5,False,3.7,15,Pure Bowler,42.9052883444179,515.0,68.66666666666667,75.0,38.52951867755176,18.800000000000004,102.4,0.56,0.13,0.67,12.0,High,0.0,90.9,535.0,20.0,Gujarat Titans,,3.9
P Simran Singh,28,5,False,0.4,18,Opener,36.64525351001984,513.0,71.83333333333333,59.5,55.43225860559578,14.0,159.60000000000002,0.77,0.17,0.5,14.0,High,87.6,0.0,515.0,2.0,Punjab Kings,2.0,0.0
R Sai Kishore,29,5,False,1.9,15,Pure Bowler,41.90576469038668,503.0,50.53333333333333,44.0,32.39238593661583,6.4,82.2,0.64,0.2,0.4,12.0,High,0.7,88.0,513.0,10.0,Gujarat Titans,10.0,2.8
SO Hetmyer,30,5,False,0.8,14,Lower Middle Bat,45.318343721353706,499.0,40.785714285714285,33.5,29.50665784433841,12.9,81.80000000000004,0.72,0.14,0.14,11.0,Medium,68.5,0.0,503.0,4.0,Rajasthan Royals,6.0,0.0
AD Russell,31,5,False,1.6,12,Bowling AR,54.53408546338387,491.0,56.833333333333336,56.5,38.88639241626195,12.0,90.1,0.68,0.25,0.5,9.0,Medium,48.2,40.6,499.0,8.0,Kolkata Knight Riders,7.0,1.5
JR Hazlewood,32,5,False,0.8,12,Pure Bowler,54.16473727055262,487.0,74.66666666666667,84.0,47.6794854558366,12.500000000000002,121.5,0.64,0.17,0.58,9.0,Medium,0.0,93.7,491.0,4.0,Royal Challengers Bengaluru,11.0,3.7
TA Boult,33,5,False,1.0,16,Pure Bowler,40.20146711427756,482.0,59.1875,45.5,45.262521287852856,9.0,123.0,0.76,0.25,0.38,12.0,High,0.2,93.2,487.0,5.0,Mumbai Indians,10.0,3.6
SE Rutherford,34,5,False,0.6,11,Middle Order Bat,53.24181324284842,479.0,54.09090909090909,62.0,28.28234270867442,17.0,82.0,0.52,0.09,0.55,9.0,Medium,85.5,0.0,482.0,3.0,Gujarat Titans,4.0,0.0
M Jansen,35,5,False,0.0,14,Pure Bowler,43.54250628910947,479.0,61.35714285714285,55.5,37.38491498093674,19.700000000000003,95.8,0.61,0.14,0.43,11.0,Medium,13.9,75.9,479.0,0.0,Punjab Kings,8.0,3.4
Arshdeep Singh,36,5,False,1.9,16,Pure Bowler,39.14024421830179,470.0,58.5625,54.0,43.898320013412814,6.0,112.0,0.75,0.25,0.5,12.0,High,0.2,88.7,479.0,9.0,Punjab Kings,10.0,3.6
TH David,37,5,False,0.4,10,Lower Middle Bat,58.49496503087456,468.0,47.9,44.5,38.87429885041158,5.9,94.5,0.81,0.2,0.3,8.0,Medium,74.1,0.0,470.0,2.0,Royal Challengers Bengaluru,7.0,0.0
A Raghuvanshi,38,6,False,2.1,11,Middle Order Bat,50.84431754057953,458.0,53.27272727272727,56.0,28.625481337755385,13.0,78.0,0.54,0.18,0.36,9.0,Medium,86.0,0.0,468.0,10.0,Kolkata Knight Riders,4.0,0.0
RM Patidar,39,6,False,1.5,14,Middle Order Bat,40.998572229796125,451.0,44.57142857142857,28.5,35.60188907199315,15.5,95.70000000000005,0.8,0.14,0.21,11.0,Medium,85.3,0.0,458.0,7.0,Royal Challengers Bengaluru,4.0,0.0
JP Inglis,40,6,False,0.9,11,Top Order Bat,49.68323267290472,447.0,61.09090909090909,65.0,42.02726387823634,23.0,100.0,0.69,0.0,0.55,9.0,Medium,75.9,0.0,451.0,4.0,Punjab Kings,3.0,0.0
Priyansh Arya,41,6,False,0.2,18,Opener,31.87163436724483,446.0,67.83333333333333,51.0,59.46946819216414,12.000000000000002,147.3,0.88,0.11,0.33,14.0,High,84.3,0.0,447.0,1.0,Punjab Kings,1.0,0.0
PJ Cummins,42,6,False,0.4,14,Pure Bowler,40.386445038388885,444.0,62.07142857142857,65.0,51.71737438411596,5.800000000000001,126.7,0.83,0.29,0.57,11.0,Medium,18.8,72.0,446.0,2.0,Sunrisers Hyderabad,8.0,3.6
Aniket Verma,43,6,False,1.8,13,Lower Middle Bat,43.62631119791685,436.0,41.69230769230769,26.0,39.22878325792728,13.4,76.80000000000001,0.94,0.15,0.23,10.0,Medium,78.2,0.0,444.0,8.0,Sunrisers Hyderabad,6.0,0.0
V Nigam,44,6,False,0.0,14,Pure Bowler,39.66231803971028,436.0,56.85714285714285,49.0,48.37808967331762,7.3,105.4,0.85,0.29,0.5,11.0,Medium,32.7,53.8,436.0,0.0,Delhi Capitals,8.0,2.8
DL Chahar,45,6,False,1.6,14,Pure Bowler,39.03321501339315,429.0,41.35714285714285,42.5,29.593676930819434,7.6,81.90000000000002,0.72,0.29,0.21,11.0,Medium,11.2,77.7,436.0,7.0,Mumbai Indians,9.0,2.9
D Brevis,46,6,False,2.3,6,Middle Order Bat,83.78378402921855,419.0,84.16666666666667,85.0,39.23476349701456,44.0,123.5,0.47,0.0,0.83,5.0,Low,81.8,0.0,429.0,10.0,Chennai Super Kings,5.0,0.0
RD Rickelton,47,6,False,0.5,14,Opener,37.88136945406775,417.0,71.0,61.5,39.2251881399616,31.2,127.7,0.55,0.0,0.5,11.0,Medium,73.4,0.0,419.0,2.0,Mumbai Indians,1.0,0.0
RR Pant,48,6,False,0.2,14,Middle Order Bat,37.85926347720839,416.0,42.92857142857143,23.5,62.62030180222863,6.0,95.60000000000008,1.46,0.36,0.14,11.0,Medium,80.0,0.0,417.0,1.0,Lucknow Super Giants,4.0,0.0
RK Singh,49,6,False,0.5,11,Lower Middle Bat,46.04977968247773,414.0,45.27272727272727,39.0,25.612851887639955,27.0,72.0,0.57,0.09,0.27,9.0,Medium,71.9,0.0,416.0,2.0,Kolkata Knight Riders,6.0,0.0
Harshit Rana,50,6,False,1.0,13,Pure Bowler,40.993455486241714,410.0,57.84615384615385,67.0,37.17491572249168,14.2,95.8,0.64,0.15,0.62,10.0,Medium,13.2,77.5,414.0,4.0,Kolkata Knight Riders,9.0,3.4
Ishan Kishan,51,6,False,0.5,14,Top Order Bat,37.0665649235609,408.0,55.85714285714285,23.0,70.17215878204024,5.3,161.6000000000001,1.26,0.36,0.36,11.0,Medium,80.1,0.0,410.0,2.0,Sunrisers Hyderabad,3.0,0.0
JJ Bumrah,52,6,False,0.7,12,Pure Bowler,44.98552952234239,405.0,70.66666666666667,54.5,48.16323255032796,19.3,136.10000000000002,0.68,0.08,0.42,9.0,Medium,0.0,89.2,408.0,3.0,Mumbai Indians,11.0,3.9
Ashutosh Sharma,53,6,False,1.7,10,Lower Middle Bat,49.77885831199181,398.0,43.2,29.0,42.17371482596977,5.9,84.89999999999998,0.98,0.2,0.3,8.0,Medium,82.9,0.0,405.0,7.0,Delhi Capitals,7.0,0.0
AK Markram,54,6,False,0.0,13,Opener,39.770397991837,398.0,84.3076923076923,80.0,53.95736683621094,22.6,152.4,0.64,0.08,0.69,10.0,Medium,73.1,13.8,398.0,0.0,Lucknow Super Giants,1.0,0.8
Abhishek Sharma,55,6,False,1.5,14,Opener,35.657538918863004,392.0,72.64285714285714,49.5,76.35907798820512,6.9,149.10000000000002,1.05,0.21,0.43,11.0,Medium,82.7,2.2,398.0,6.0,Sunrisers Hyderabad,1.0,0.8
PD Salt,56,6,False,1.5,13,Opener,38.5883893503301,386.0,73.76923076923077,66.0,49.67755000358789,20.0,139.60000000000002,0.67,0.08,0.54,10.0,Medium,82.5,0.0,392.0,6.0,Royal Challengers Bengaluru,1.0,0.0
AM Rahane,57,6,False,0.0,12,Top Order Bat,42.897364338704,386.0,68.16666666666667,62.0,35.15636069006143,31.2,122.8,0.52,0.0,0.58,9.0,Medium,86.3,0.0,386.0,0.0,Kolkata Knight Riders,3.0,0.0
B Kumar,58,7,False,2.3,14,Pure Bowler,34.26843998455965,377.0,54.21428571428572,49.0,31.598876736191286,21.6,82.7,0.58,0.07,0.29,11.0,Medium,2.4,86.0,386.0,9.0,Royal Challengers Bengaluru,9.0,3.7
Nithish Kumar Reddy,59,7,False,0.3,13,Middle Order Bat,37.639918274558624,376.0,36.38461538461539,37.0,21.65078313263541,7.200000000000001,61.60000000000001,0.6,0.23,0.15,10.0,Medium,59.2,16.3,377.0,1.0,Sunrisers Hyderabad,4.0,0.4
HV Patel,60,7,False,0.5,13,Pure Bowler,37.42723177744463,374.0,53.23076923076923,46.0,48.62467454244784,7.800000000000001,134.20000000000005,0.91,0.23,0.23,10.0,Medium,3.0,88.6,376.0,2.0,Sunrisers Hyderabad,9.0,3.4
KK Ahmed,61,7,False,0.8,14,Pure Bowler,33.725547131317875,371.0,47.42857142857143,46.5,36.67888574289927,6.0,84.70000000000002,0.77,0.36,0.36,11.0,Medium,0.2,91.4,374.0,3.0,Chennai Super Kings,11.0,3.3
M Shahrukh Khan,62,7,False,0.8,11,Middle Order Bat,40.85511235283188,368.0,40.36363636363637,24.0,34.929279200329134,16.0,78.0,0.87,0.09,0.27,9.0,Medium,71.4,7.0,371.0,3.0,Gujarat Titans,5.0,0.1
AR Patel,63,7,False,2.2,13,Batting AR,35.99444850648034,360.0,63.69230769230769,52.0,48.31905182462472,16.200000000000003,125.6,0.76,0.15,0.46,10.0,Medium,56.2,29.1,368.0,8.0,Delhi Capitals,5.0,2.8
WG Jacks,64,7,False,0.6,13,Other,35.7729957622326,358.0,57.76923076923077,40.0,46.77099144796527,12.6,126.0,0.81,0.15,0.38,10.0,Medium,54.2,29.3,360.0,2.0,Mumbai Indians,3.0,1.1
Mohammed Siraj,65,7,False,0.3,15,Pure Bowler,29.746641507798028,357.0,52.8,41.0,50.35757851888546,5.000000000000001,120.4,0.95,0.27,0.27,12.0,High,0.4,88.8,358.0,1.0,Gujarat Titans,11.0,3.8
Abdul Samad,66,7,False,1.7,13,Lower Middle Bat,35.08519074318096,351.0,30.846153846153847,14.0,29.04836815223348,6.0,66.80000000000001,0.94,0.54,0.23,10.0,Medium,72.8,0.2,357.0,6.0,Lucknow Super Giants,7.0,0.0
VG Arora,67,7,False,0.9,12,Pure Bowler,38.65420453010787,348.0,59.66666666666666,50.0,30.7374019524728,32.5,97.2,0.52,0.08,0.33,9.0,Medium,0.0,90.5,351.0,3.0,Kolkata Knight Riders,10.0,3.5
CV Varun,68,7,False,2.6,13,Pure Bowler,33.94370127306349,339.0,59.84615384615385,73.0,39.874482554314845,11.4,97.2,0.67,0.23,0.54,10.0,Medium,0.1,88.3,348.0,9.0,Kolkata Knight Riders,11.0,3.8
